🔒 Row ID,stationID,fuel_type,price,creation_date,station_name_from_form
tKQY0BBSRYSuHvH1-Zn-vg,2vsl00r2ShSGHxGJLXRGqw,АИ-92,10700,"02/11/2024, 11:20:15",UzGazoil 
cnlAAAxZReeGe84uf1PDhQ,2vsl00r2ShSGHxGJLXRGqw,АИ-95,12800,"02/11/2024, 11:20:26",UzGazoil 
aFG0sc1FT2qI-.RnJ230Pg,8dLV8m9rQn-VC2iRWXqkNA,АИ-80,6900,"02/11/2024, 11:30:50",UzGazoil 
xBHDnck1TwiSbOrlbxriSA,8dLV8m9rQn-VC2iRWXqkNA,АИ-92,10700,"02/11/2024, 11:31:00",UzGazoil 
uXaxvivpSdSU1srreuNuoA,8dLV8m9rQn-VC2iRWXqkNA,АИ-95,12800,"02/11/2024, 11:31:10",UzGazoil 
eV59mvKRQdaD7xpB31IQvw,oJW4nIUiSqiboeQTJOu2lw,АИ-80,6900,"02/11/2024, 11:39:56",UzGazoil 
juS4IjZvSQuDKrWTA4jW8g,oJW4nIUiSqiboeQTJOu2lw,АИ-92,10700,"02/11/2024, 11:40:06",UzGazoil 
a-Xok8dWiSD2DkBvMYKvEvg,oJW4nIUiSqiboeQTJOu2lw,АИ-95,12800,"02/11/2024, 11:40:26",UzGazoil 
UWu1bEUwSrykFXGdtbMaRw,oJW4nIUiSqiboeQTJOu2lw,Дизель,12500,"02/11/2024, 11:40:36",UzGazoil 
bjJK3SonQOuE-ZGG.bLqaw,k.6pPPqLTuayctCNfuKalA,АИ-92,10500,"02/11/2024, 12:03:33",IBR PETROLEUM BATION 
BIjhYkGTRxCjJSCE-ksWZw,k.6pPPqLTuayctCNfuKalA,АИ-80,7800,"02/11/2024, 12:03:23",IBR PETROLEUM BATION 
WPzi5DpVQRqqKu7dTkfW2A,k.6pPPqLTuayctCNfuKalA,АИ-95,12500,"02/11/2024, 12:03:43",IBR PETROLEUM BATION 
qv9HpsuHQI-XeeD5M2O6jA,kNKzJTRHSpWoUaChOZcfTQ,АИ-80,6900,"02/11/2024, 12:09:25",UzGazoil 
AgcW3jOtS3GiSzVRzioykA,kNKzJTRHSpWoUaChOZcfTQ,АИ-92,10700,"02/11/2024, 12:09:33",UzGazoil 
xCepjAiCStK3FYqeCBpKYQ,kNKzJTRHSpWoUaChOZcfTQ,Дизель,12500,"02/11/2024, 12:09:43",UzGazoil 
cMDyvDxUToaiRd6OdKtBNA,kNKzJTRHSpWoUaChOZcfTQ,АИ-95,15800,"02/11/2024, 12:10:03",UzGazoil 
0AHenmsgQVq8Agx3cetpOA,O3qnw9xpR72nNKiGi2v0wA,АИ-80,7800,"02/11/2024, 12:23:11",IBR Fuelsis staiton
RxlDEhnuS-C.D9UAcUKSUg,O3qnw9xpR72nNKiGi2v0wA,АИ-92,10500,"02/11/2024, 12:23:31",IBR Fuelsis staiton
r.MoFWplTMWcMFKf1YB5OA,O3qnw9xpR72nNKiGi2v0wA,АИ-95,12500,"02/11/2024, 12:23:41",IBR Fuelsis staiton
nWdO9SH9QCK-aX-YH855lA,AisBExRYTvujkk-s0i3Oww,АИ-80,6900,"02/11/2024, 12:29:23",UzGazoil 
CUxBx6ndQ0GKeT.dOCNqhg,AisBExRYTvujkk-s0i3Oww,АИ-92,10700,"02/11/2024, 12:29:42",UzGazoil 
sBrIiFNER6WQzCKoIARu8g,AisBExRYTvujkk-s0i3Oww,АИ-95,12800,"02/11/2024, 12:29:52",UzGazoil 
3jVpHpbQQqeqUM9CiIqvFg,AisBExRYTvujkk-s0i3Oww,Дизель,12500,"02/11/2024, 12:30:02",UzGazoil 
1LC-ZDsSTVa41L6yJj5DJw,d6G0YOWySXKJZt4ApGeW5g,АИ-80,8300,"02/11/2024, 12:55:15",Quest Room 
YIUmwC5mQ-ibCqIkIFtSaQ,d6G0YOWySXKJZt4ApGeW5g,АИ-92,10500,"02/11/2024, 12:55:18",Quest Room 
3eHY0aU0St6.a8a4pZsaMg,d6G0YOWySXKJZt4ApGeW5g,АИ-95,12500,"02/11/2024, 12:55:26",Quest Room 
8UUHy3sGTKOIwUpEX-sTMw,d6G0YOWySXKJZt4ApGeW5g,Дизель,12500,"02/11/2024, 12:55:45",Quest Room 
Ys40a8SbQmaXCjwK75DS8A,1kjYfAStQeuj7YtfLJ5AJA,АИ-80,6900,"02/11/2024, 13:03:11",UzGazoil 
a-tVgltqRRCej7jWDPSF7uw,1kjYfAStQeuj7YtfLJ5AJA,АИ-92,10700,"02/11/2024, 13:03:21",UzGazoil 
r4PLQdCiQXSajEe-PkY6Sg,GyqYRJn3QLiCQw4qvfDI5A,АИ-80,7800,"02/11/2024, 13:14:46",IBR Petroleum station 
qwxekiaIQZOo4IyYmpvN.Q,GyqYRJn3QLiCQw4qvfDI5A,АИ-92,10500,"02/11/2024, 13:14:57",IBR Petroleum station 
MqNq3s84S3qilC4WFXJWpA,GyqYRJn3QLiCQw4qvfDI5A,АИ-95,12500,"02/11/2024, 13:14:59",IBR Petroleum station 
2X.znDFWRo-32l8AhwY1JQ,0f0U8kDKRzyRkXxbo-jRtw,АИ-80,6900,"02/11/2024, 13:43:39",UzGazoil 
Am.bSjkUT6WRr3mfJjOKAQ,0f0U8kDKRzyRkXxbo-jRtw,АИ-92,10700,"02/11/2024, 13:43:49",UzGazoil 
sJrPU-smQLy9v9BiSwPljg,0f0U8kDKRzyRkXxbo-jRtw,АИ-95,12800,"02/11/2024, 13:44:09",UzGazoil 
Ou-1-ol-T0a1zy2LZXaOWA,kL8tVpUBQkKTSnAdg7xAXA,АИ-80,7800,"02/11/2024, 15:33:19",IBR Petroleum station BEST
I.qxNAeLQ.2FmwYd.9V-Uw,kL8tVpUBQkKTSnAdg7xAXA,АИ-92,9500,"02/11/2024, 15:33:49",IBR Petroleum station BEST
M2DFkvKzRACG1p6VPuRbHg,kL8tVpUBQkKTSnAdg7xAXA,АИ-95,12500,"02/11/2024, 15:34:21",IBR Petroleum station BEST
Qvjc1qewS62KFZfBeGHTVQ,9zpjsCRjRe6V0iJctKiTBw,АИ-80,6900,"04/11/2024, 10:41:23",UzGazoil GAZ
GhAh4SCqT4GJ8HEr9XJLJg,9zpjsCRjRe6V0iJctKiTBw,АИ-92,10700,"04/11/2024, 10:41:45",UzGazoil GAZ
GDhxPNOARVqKUC3UxEqflw,9zpjsCRjRe6V0iJctKiTBw,АИ-95,12800,"04/11/2024, 10:41:53",UzGazoil GAZ
BJuOHrFTTKK9vCAaP-kv3A,9zpjsCRjRe6V0iJctKiTBw,Пропан,7200,"04/11/2024, 10:44:58",UzGazoil GAZ
gXqI7duOQnueG3GxoNzEFg,9zpjsCRjRe6V0iJctKiTBw,Дизель,12800,"04/11/2024, 10:46:18",UzGazoil GAZ
ceUhS3.hQS-OHEZQw5w9Jw,b4if1hCFR7uZAgTBr9ZUWw,Метан,3950,"04/11/2024, 10:56:02",АГЗС METAN
lEjBYKNLTQ2urHi2S6sZ3Q,XGH8W6lHTda63.5fUzk0Gw,Метан,3950,"04/11/2024, 11:01:31",METAN
GEAcAkzkSGGl1uoy83GH2w,HOVaOUPUTwuJQUCKlRL95w,Метан,3950,"04/11/2024, 11:02:22",METAN 
UH4Cs2QVTXOJpYSKdeeslw,WaNfjxG9TGOutHvBgkm2zA,Метан,3990,"04/11/2024, 11:13:03",METAN 
Hg9T4lrIQDONv1xtsyzGDw,03dL0sDbRoWfU9fOdYn9cw,Метан,3960,"04/11/2024, 11:22:51",METAN 
yM-41yDNRlWFNqQEOrnC6Q,aYIIP0PFS2qWQnG3UnvWQw,АИ-80,8400,"04/11/2024, 11:30:57",Tashkent OIL
CoD2LSkFTO6Satfk1Sshlw,aYIIP0PFS2qWQnG3UnvWQw,АИ-92,10500,"04/11/2024, 11:31:07",Tashkent OIL
A4DuBKe5QbuNH1dsSWJs9g,aYIIP0PFS2qWQnG3UnvWQw,Дизель,10700,"04/11/2024, 11:31:27",Tashkent OIL
pN5ANoUJQOKaVUelhbCJMw,pekJ-aMKReCTOANTiTNk9w,Метан,3950,"04/11/2024, 14:52:23",METAN 
DE.mdIIwSCOfegp0ov.uXg,RpYJE5jrSnSsgfcR77Riqg,АИ-80,8000,"05/11/2024, 11:21:18",Petrol station 
GzLaozhlT8eXqYlwg31CZQ,RpYJE5jrSnSsgfcR77Riqg,АИ-92,10400,"05/11/2024, 11:21:28",Petrol station 
I4ztEtHJRVmGLlMvjvXrYw,RpYJE5jrSnSsgfcR77Riqg,АИ-95,12000,"05/11/2024, 11:21:38",Petrol station 
Vxy0ezcuS9apBFEYAfqOxw,n-mQBv74TceZ5z8K3RIhnw,АИ-92,10700,"05/11/2024, 11:34:24",UzGazoil 
cEEIoGz4Rra3sQPnCajOSA,n-mQBv74TceZ5z8K3RIhnw,АИ-80,6900,"05/11/2024, 11:34:13",UzGazoil 
DoG7.nlTSuKEC-sMl35KuA,n-mQBv74TceZ5z8K3RIhnw,АИ-95,13900,"05/11/2024, 11:34:33",UzGazoil 
